Date(s),Day(s),Event Name,Distances,Comments,event date confirmed on,URL
1-Jan-24,Sat,Beyond the Black Stump,16k / 33k / 8k Walk,A tradidional New Years Day run,Mon 15 May 2023,https://www.runningcalendar.com.au/event/beyond-the-black-stump/
9-10 Mar 2024,Sat - Sun,Orange Running Festival,1mile / 5k / 10k / 21k / 42k,40 Trotters in 1974,Mon 15 May 2023,https://www.orangerunningfestival.com.au/
9-Mar-24,Sat,Six Foot Track,45k,A great event,Mon 15 May 2023,https://www.sixfoot.com/
14 Apr 2024 tbc,Sun,Canberra Marathon,Kids 2K / 5.4K / 10K / 21k / 42k,Watch out for early bird discounts,to be confirmed,https://solemotive.com/pages/canberra-times-marathon-festival
25-Apr-24,Thu,TT Anzac Day Run,20k,Run back from Dawn Service,Mon 15 May 2023,https://www.turramurratrotters.org
5 May 2024 tbc,Sun,Manly Rotary Fun Run,2k / 5k / 10k,possible sightings of Peter Welch,Mon 15 May 2023,https://www.manlyfunrun.org/
9 - 12 May 2024 tbc,Thu - Sun,Ultra-Trail Australia,1k / 11 / 22 / 50k / 100k,Tough runs,Mon 15 May 2023,https://www.ultratrailaustralia.com.au/
21-May-23,Sun,SMH Half Marathon,21k,The classic half!,Mon 15 May 2023,https://smhhalfmarathon.com.au/
28-May-23,Sun,Lindfield Fun Run,2k / 5k / 10k,A Trotters tradional run,Mon 15 May 2023,https://lindfieldfunrun.org.au/
4-Jun-23,Sun,The Great NOSH Footrace,16k / 22k,by Orienteering NSW,Mon 15 May 2023,https://thegreatnoshfootrace.com.au/
18-Jun-23,Sun,Ku-ring-gai Chase Fun Run,2k / 5k / 10k,A charity run,Mon 15 May 2023,https://tkcfunrun.org.au/wp/
tbc,tbc,Western Sydney Marathon,10k / 21k / 42k,…check their website,Mon 15 May 2023,https://www.westernsydneymarathon.com.au/
1 - 2 Jul 2023,Sat - Sun,Gold Coast Marathon,2k / 4k / 5k / 10k / 21k / 42k / 63.3k 2 day,Ask Richard who has run 5! Marathons that is not k's.,Mon 15 May 2023,https://goldcoastmarathon.com.au/
16-Jul-23,Sun,Winery Running Festival,2k / 5k / 10.5k / 21k / 42k,The marathon is back,Mon 15 May 2023,https://wineryrun.com/
cancelled for 2023,n/a,Westlink M7 Marathon,5k / 10k / 21k / 42k,Great course,Mon 15 May 2023,https://www.blacktown.nsw.gov.au/Events-and-activities/Westlink-M7-Blacktown-Running-Festival
13-08-22,Sun,City to Surf,14k,Our biggest Event of the year!,Mon 15 May 2023,https://city2surf.com.au/
27-Aug-23,Sun,Pub-2-Pub aka Beach-2-Beach,3k / 6k / 13k,13k is a Michael Fortune favourite,Mon 15 May 2023,https://beach2beach.com.au/
tbc,tbc,Bilpin Fun Run (Willy2Billy),16.77k / 31.45k,…check their website,Mon 15 May 2023,http://www.bilpinbushrun.com.au/
tbc,tbc,SAN Fun Run,5k / 10k,…check their website,Mon 15 May 2023,https://www.sah.org.au/run-for-life
tbc,tbc,Walk(Run) to Work Day,…,…check their website,Mon 15 May 2023,https://www.walk.com.au/WTW/homepage.asp
17-Sep-23,Sun,Abbott World Marathon Majors Candidate Race (previously Blackmores Running Festival),3.5k / 10k / 21.095k / 42.195k,a favourite of Les,Mon 15 May 2023,https://sydneyrunningfestival.com.au/
22-Oct-23,Sun,7 Bridges Walk Cancer Council event,28k,See Sydney on Foot,Mon 15 May 2023,https://www.7bridgeswalk.com.au/
22-Oct-23,Sun,Mt Panorama Punish,6.2k (elevation gain 174m ?),One hot lap around Mt Panorama,Mon 15 May 2023,http://panoramapunish.com/
4 - 5 Nov 2023,tbc,Carcoar Cup Running Festival,…,…check their website,Mon 15 May 2023,https://www.carcoar.com.au/news-events/carcoar-cup-running-festival
18-19 Nov 2023,Sat - Sun,Stromlo Running Festival,5k / 10k /15k / 30k / 50k,Hosted by Rob de Castella,Mon 15 May 2023,https://stromlorunningfestival.com.au/
tbc,tbc,Central Coast Half,10k / 21.1k,Check with Martin Smith,Mon 15 May 2023,https://www.runningcalendar.com.au/event/central-coast-half-marathon/
